[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
/Users/eating/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
Episode 0, Average Reward: -800.56, Entropy: 1.4189
Episode 10, Average Reward: -765.53, Entropy: 1.4026
Episode 20, Average Reward: -791.96, Entropy: 1.3722
Episode 30, Average Reward: -687.83, Entropy: 1.3373
Episode 40, Average Reward: -655.28, Entropy: 1.2999
Episode 50, Average Reward: -564.87, Entropy: 1.2577
Episode 60, Average Reward: -538.99, Entropy: 1.2195
Episode 70, Average Reward: -419.58, Entropy: 1.1637
Episode 80, Average Reward: -339.91, Entropy: 1.1144
Episode 90, Average Reward: -251.85, Entropy: 1.0538
Episode 100, Average Reward: -200.98, Entropy: 0.9989
Episode 110, Average Reward: -131.20, Entropy: 0.9640
Episode 120, Average Reward: -68.03, Entropy: 0.9423
Episode 130, Average Reward: -116.12, Entropy: 0.9108
Episode 140, Average Reward: 79.44, Entropy: 0.8659
Episode 150, Average Reward: 233.29, Entropy: 0.8310
Episode 160, Average Reward: 245.25, Entropy: 0.8070
Episode 170, Average Reward: 339.98, Entropy: 0.7824
Episode 180, Average Reward: 290.89, Entropy: 0.7558
Episode 190, Average Reward: 468.44, Entropy: 0.7249
Episode 200, Average Reward: 442.11, Entropy: 0.6859
Episode 210, Average Reward: 661.55, Entropy: 0.6624
Episode 220, Average Reward: 550.43, Entropy: 0.6339
Episode 230, Average Reward: 600.49, Entropy: 0.6106
Episode 240, Average Reward: 653.05, Entropy: 0.5882
Episode 250, Average Reward: 823.43, Entropy: 0.5647
Episode 260, Average Reward: 905.39, Entropy: 0.5407
Episode 270, Average Reward: 996.33, Entropy: 0.5134
Episode 280, Average Reward: 993.70, Entropy: 0.4903
Episode 290, Average Reward: 780.48, Entropy: 0.4774
Episode 300, Average Reward: 1049.55, Entropy: 0.4592
Episode 310, Average Reward: 1041.97, Entropy: 0.4353
Episode 320, Average Reward: 922.46, Entropy: 0.4150
Episode 330, Average Reward: 1096.42, Entropy: 0.3973
Episode 340, Average Reward: 1097.38, Entropy: 0.3810
Episode 350, Average Reward: 1215.92, Entropy: 0.3551
Episode 360, Average Reward: 1355.33, Entropy: 0.3305
Episode 370, Average Reward: 1350.97, Entropy: 0.3176
Episode 380, Average Reward: 1380.65, Entropy: 0.2947
Episode 390, Average Reward: 1423.18, Entropy: 0.2764
Episode 400, Average Reward: 1431.57, Entropy: 0.2613
Episode 410, Average Reward: 1472.60, Entropy: 0.2480
Episode 420, Average Reward: 1416.36, Entropy: 0.2302
Episode 430, Average Reward: 1550.11, Entropy: 0.2156
Episode 440, Average Reward: 1616.73, Entropy: 0.1997
Episode 450, Average Reward: 1679.29, Entropy: 0.1795
Episode 460, Average Reward: 1672.91, Entropy: 0.1555
Episode 470, Average Reward: 1588.69, Entropy: 0.1333
Episode 480, Average Reward: 1693.17, Entropy: 0.1157
Episode 490, Average Reward: 1630.00, Entropy: 0.0990
Episode 500, Average Reward: 1684.76, Entropy: 0.0774
Models saved at episode 500
Episode 510, Average Reward: 1880.52, Entropy: 0.0589
Episode 520, Average Reward: 1906.31, Entropy: 0.0424
Episode 530, Average Reward: 1894.38, Entropy: 0.0246
Episode 540, Average Reward: 1506.18, Entropy: 0.0122
Episode 550, Average Reward: 1852.12, Entropy: 0.0022
Episode 560, Average Reward: 1892.08, Entropy: -0.0085
Episode 570, Average Reward: 1982.38, Entropy: -0.0201
Episode 580, Average Reward: 2065.70, Entropy: -0.0389
Episode 590, Average Reward: 2200.40, Entropy: -0.0614
Episode 600, Average Reward: 2143.17, Entropy: -0.0778
Episode 610, Average Reward: 2271.47, Entropy: -0.0936
Episode 620, Average Reward: 2355.00, Entropy: -0.1122
Episode 630, Average Reward: 2345.30, Entropy: -0.1325
Episode 640, Average Reward: 2335.65, Entropy: -0.1507
Episode 650, Average Reward: 2307.24, Entropy: -0.1671
Episode 660, Average Reward: 2366.28, Entropy: -0.1810
Episode 670, Average Reward: 2064.93, Entropy: -0.1969
Episode 680, Average Reward: 2432.92, Entropy: -0.2102
Episode 690, Average Reward: 2169.96, Entropy: -0.2200
Episode 700, Average Reward: 2394.08, Entropy: -0.2276
Episode 710, Average Reward: 2471.60, Entropy: -0.2330
Episode 720, Average Reward: 2133.39, Entropy: -0.2463
Episode 730, Average Reward: 2380.82, Entropy: -0.2540
Episode 740, Average Reward: 2448.63, Entropy: -0.2644
Episode 750, Average Reward: 2553.03, Entropy: -0.2779
Episode 760, Average Reward: 2609.16, Entropy: -0.2866
Episode 770, Average Reward: 2683.27, Entropy: -0.3039
Episode 780, Average Reward: 2581.20, Entropy: -0.3158
Episode 790, Average Reward: 2623.89, Entropy: -0.3278
Episode 800, Average Reward: 2637.21, Entropy: -0.3399
Episode 810, Average Reward: 2604.00, Entropy: -0.3482
Episode 820, Average Reward: 2625.75, Entropy: -0.3602
Episode 830, Average Reward: 2672.94, Entropy: -0.3772
Episode 840, Average Reward: 2672.82, Entropy: -0.3943
Episode 850, Average Reward: 2769.73, Entropy: -0.4064
Episode 860, Average Reward: 2883.08, Entropy: -0.4206
Episode 870, Average Reward: 2878.06, Entropy: -0.4325
Episode 880, Average Reward: 2835.51, Entropy: -0.4469
Episode 890, Average Reward: 2940.16, Entropy: -0.4625
Episode 900, Average Reward: 2990.84, Entropy: -0.4728
Episode 910, Average Reward: 2940.86, Entropy: -0.4814
Episode 920, Average Reward: 3007.94, Entropy: -0.4982
Episode 930, Average Reward: 2974.41, Entropy: -0.5126
Episode 940, Average Reward: 3032.76, Entropy: -0.5221
Episode 950, Average Reward: 2952.28, Entropy: -0.5258
Episode 960, Average Reward: 3032.20, Entropy: -0.5283
Episode 970, Average Reward: 2978.48, Entropy: -0.5338
Episode 980, Average Reward: 3032.24, Entropy: -0.5396
Episode 990, Average Reward: 2955.57, Entropy: -0.5442
Episode 1000, Average Reward: 3060.76, Entropy: -0.5500
Models saved at episode 1000
Episode 1010, Average Reward: 3071.09, Entropy: -0.5534
Episode 1020, Average Reward: 2977.72, Entropy: -0.5584
Episode 1030, Average Reward: 2796.95, Entropy: -0.5613
Episode 1040, Average Reward: 2943.90, Entropy: -0.5626
Episode 1050, Average Reward: 2990.80, Entropy: -0.5656
Episode 1060, Average Reward: 3082.65, Entropy: -0.5721
Episode 1070, Average Reward: 3115.32, Entropy: -0.5812
Episode 1080, Average Reward: 3196.63, Entropy: -0.5901
Episode 1090, Average Reward: 3204.85, Entropy: -0.6025
Episode 1100, Average Reward: 2858.76, Entropy: -0.6149
Episode 1110, Average Reward: 2532.32, Entropy: -0.6201
Episode 1120, Average Reward: 2937.95, Entropy: -0.6194
Episode 1130, Average Reward: 3128.22, Entropy: -0.6221
Episode 1140, Average Reward: 3150.77, Entropy: -0.6294
Episode 1150, Average Reward: 3174.22, Entropy: -0.6371
Episode 1160, Average Reward: 3139.49, Entropy: -0.6427
Episode 1170, Average Reward: 3202.76, Entropy: -0.6478
Episode 1180, Average Reward: 3065.24, Entropy: -0.6521
Episode 1190, Average Reward: 2753.45, Entropy: -0.6552
Episode 1200, Average Reward: 2950.69, Entropy: -0.6639
Episode 1210, Average Reward: 2569.06, Entropy: -0.6707
Episode 1220, Average Reward: 2950.70, Entropy: -0.6734
Episode 1230, Average Reward: 3154.27, Entropy: -0.6750
Episode 1240, Average Reward: 3241.28, Entropy: -0.6793
Episode 1250, Average Reward: 3222.57, Entropy: -0.6866
Episode 1260, Average Reward: 3209.63, Entropy: -0.6924
Episode 1270, Average Reward: 3361.50, Entropy: -0.6968
Episode 1280, Average Reward: 3211.03, Entropy: -0.7028
Episode 1290, Average Reward: 3151.74, Entropy: -0.7069
Episode 1300, Average Reward: 3224.36, Entropy: -0.7130
Episode 1310, Average Reward: 3268.36, Entropy: -0.7249
Episode 1320, Average Reward: 3055.60, Entropy: -0.7342
Episode 1330, Average Reward: 2989.04, Entropy: -0.7445
Episode 1340, Average Reward: 3107.61, Entropy: -0.7485
Episode 1350, Average Reward: 3222.71, Entropy: -0.7515
Episode 1360, Average Reward: 3080.23, Entropy: -0.7522
Episode 1370, Average Reward: 2889.62, Entropy: -0.7565
Episode 1380, Average Reward: 2711.83, Entropy: -0.7587
Episode 1390, Average Reward: 2826.13, Entropy: -0.7618
Episode 1400, Average Reward: 2866.66, Entropy: -0.7648
Episode 1410, Average Reward: 3078.17, Entropy: -0.7685
Episode 1420, Average Reward: 3153.48, Entropy: -0.7746
Episode 1430, Average Reward: 3229.03, Entropy: -0.7815
Episode 1440, Average Reward: 3215.04, Entropy: -0.7895
Episode 1450, Average Reward: 3235.96, Entropy: -0.7959
Episode 1460, Average Reward: 3328.79, Entropy: -0.8050
Episode 1470, Average Reward: 3347.60, Entropy: -0.8146
Episode 1480, Average Reward: 3308.63, Entropy: -0.8231
Episode 1490, Average Reward: 3383.43, Entropy: -0.8344
Episode 1500, Average Reward: 3339.13, Entropy: -0.8474
Models saved at episode 1500
Episode 1510, Average Reward: 3443.72, Entropy: -0.8615
Episode 1520, Average Reward: 3511.07, Entropy: -0.8663
Episode 1530, Average Reward: 3454.35, Entropy: -0.8685
Episode 1540, Average Reward: 3398.21, Entropy: -0.8758
Episode 1550, Average Reward: 3459.36, Entropy: -0.8864
Episode 1560, Average Reward: 3441.88, Entropy: -0.8947
Episode 1570, Average Reward: 3385.09, Entropy: -0.9044
Episode 1580, Average Reward: 3476.39, Entropy: -0.9101
