[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
/Users/eating/miniconda3/envs/py11/lib/python3.11/site-packages/gymnasium/envs/registration.py:512: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
Episode 0, Average Reward: -800.56, Entropy: 1.4189, Cumulative steps: 1000
Episode 10, Average Reward: -765.53, Entropy: 1.4026, Cumulative steps: 11000
Episode 20, Average Reward: -791.96, Entropy: 1.3722, Cumulative steps: 21000
Episode 30, Average Reward: -687.83, Entropy: 1.3373, Cumulative steps: 31000
Episode 40, Average Reward: -655.28, Entropy: 1.2999, Cumulative steps: 41000
Episode 50, Average Reward: -564.87, Entropy: 1.2577, Cumulative steps: 51000
Episode 60, Average Reward: -538.99, Entropy: 1.2195, Cumulative steps: 61000
Episode 70, Average Reward: -419.58, Entropy: 1.1637, Cumulative steps: 71000
Episode 80, Average Reward: -339.91, Entropy: 1.1144, Cumulative steps: 81000
Episode 90, Average Reward: -251.85, Entropy: 1.0538, Cumulative steps: 91000
Episode 100, Average Reward: -200.98, Entropy: 0.9989, Cumulative steps: 101000
Models saved at episode 100
Episode 110, Average Reward: -131.20, Entropy: 0.9640, Cumulative steps: 111000
Episode 120, Average Reward: -68.03, Entropy: 0.9423, Cumulative steps: 121000
Episode 130, Average Reward: -116.12, Entropy: 0.9108, Cumulative steps: 131000
Episode 140, Average Reward: 79.44, Entropy: 0.8659, Cumulative steps: 141000
Episode 150, Average Reward: 233.29, Entropy: 0.8310, Cumulative steps: 151000
Episode 160, Average Reward: 245.25, Entropy: 0.8070, Cumulative steps: 161000
Episode 170, Average Reward: 339.98, Entropy: 0.7824, Cumulative steps: 171000
Episode 180, Average Reward: 290.89, Entropy: 0.7558, Cumulative steps: 181000
Episode 190, Average Reward: 468.44, Entropy: 0.7249, Cumulative steps: 191000
Episode 200, Average Reward: 442.11, Entropy: 0.6859, Cumulative steps: 201000
Models saved at episode 200
Episode 210, Average Reward: 661.55, Entropy: 0.6624, Cumulative steps: 211000
Episode 220, Average Reward: 550.43, Entropy: 0.6339, Cumulative steps: 221000
Episode 230, Average Reward: 600.49, Entropy: 0.6106, Cumulative steps: 231000
Episode 240, Average Reward: 653.05, Entropy: 0.5882, Cumulative steps: 241000
Episode 250, Average Reward: 823.43, Entropy: 0.5647, Cumulative steps: 251000
Episode 260, Average Reward: 905.39, Entropy: 0.5407, Cumulative steps: 261000
Episode 270, Average Reward: 996.33, Entropy: 0.5134, Cumulative steps: 271000
Episode 280, Average Reward: 993.70, Entropy: 0.4903, Cumulative steps: 281000
Episode 290, Average Reward: 780.48, Entropy: 0.4774, Cumulative steps: 291000
Episode 300, Average Reward: 1049.55, Entropy: 0.4592, Cumulative steps: 301000
Models saved at episode 300
Episode 310, Average Reward: 1041.97, Entropy: 0.4353, Cumulative steps: 311000
Episode 320, Average Reward: 922.46, Entropy: 0.4150, Cumulative steps: 321000
Episode 330, Average Reward: 1096.42, Entropy: 0.3973, Cumulative steps: 331000
Episode 340, Average Reward: 1097.38, Entropy: 0.3810, Cumulative steps: 341000
Episode 350, Average Reward: 1215.92, Entropy: 0.3551, Cumulative steps: 351000
Episode 360, Average Reward: 1355.33, Entropy: 0.3305, Cumulative steps: 361000
Episode 370, Average Reward: 1350.97, Entropy: 0.3176, Cumulative steps: 371000
Episode 380, Average Reward: 1380.65, Entropy: 0.2947, Cumulative steps: 381000
Episode 390, Average Reward: 1423.18, Entropy: 0.2764, Cumulative steps: 391000
Episode 400, Average Reward: 1431.57, Entropy: 0.2613, Cumulative steps: 401000
Models saved at episode 400
Episode 410, Average Reward: 1472.60, Entropy: 0.2480, Cumulative steps: 411000
Episode 420, Average Reward: 1416.36, Entropy: 0.2302, Cumulative steps: 421000
Episode 430, Average Reward: 1550.11, Entropy: 0.2156, Cumulative steps: 431000
Episode 440, Average Reward: 1616.73, Entropy: 0.1997, Cumulative steps: 441000
Episode 450, Average Reward: 1679.29, Entropy: 0.1795, Cumulative steps: 451000
Episode 460, Average Reward: 1672.91, Entropy: 0.1555, Cumulative steps: 461000
Episode 470, Average Reward: 1588.69, Entropy: 0.1333, Cumulative steps: 471000
Episode 480, Average Reward: 1693.17, Entropy: 0.1157, Cumulative steps: 481000
Episode 490, Average Reward: 1630.00, Entropy: 0.0990, Cumulative steps: 491000
Episode 500, Average Reward: 1684.76, Entropy: 0.0774, Cumulative steps: 501000
Models saved at episode 500
Episode 510, Average Reward: 1880.52, Entropy: 0.0589, Cumulative steps: 511000
Episode 520, Average Reward: 1906.31, Entropy: 0.0424, Cumulative steps: 521000
Episode 530, Average Reward: 1894.38, Entropy: 0.0246, Cumulative steps: 531000
Episode 540, Average Reward: 1506.18, Entropy: 0.0122, Cumulative steps: 541000
Episode 550, Average Reward: 1852.12, Entropy: 0.0022, Cumulative steps: 551000
Episode 560, Average Reward: 1892.08, Entropy: -0.0085, Cumulative steps: 561000
Episode 570, Average Reward: 1982.38, Entropy: -0.0201, Cumulative steps: 571000
Episode 580, Average Reward: 2065.70, Entropy: -0.0389, Cumulative steps: 581000
Episode 590, Average Reward: 2200.40, Entropy: -0.0614, Cumulative steps: 591000
Episode 600, Average Reward: 2143.17, Entropy: -0.0778, Cumulative steps: 601000
Models saved at episode 600
Episode 610, Average Reward: 2271.47, Entropy: -0.0936, Cumulative steps: 611000
Episode 620, Average Reward: 2355.00, Entropy: -0.1122, Cumulative steps: 621000
Episode 630, Average Reward: 2345.30, Entropy: -0.1325, Cumulative steps: 631000
Episode 640, Average Reward: 2335.65, Entropy: -0.1507, Cumulative steps: 641000
Episode 650, Average Reward: 2307.24, Entropy: -0.1671, Cumulative steps: 651000
Episode 660, Average Reward: 2366.28, Entropy: -0.1810, Cumulative steps: 661000
Episode 670, Average Reward: 2064.93, Entropy: -0.1969, Cumulative steps: 671000
Episode 680, Average Reward: 2432.92, Entropy: -0.2102, Cumulative steps: 681000
Episode 690, Average Reward: 2169.96, Entropy: -0.2200, Cumulative steps: 691000
Episode 700, Average Reward: 2394.08, Entropy: -0.2276, Cumulative steps: 701000
Models saved at episode 700
Episode 710, Average Reward: 2471.60, Entropy: -0.2330, Cumulative steps: 711000
Episode 720, Average Reward: 2133.39, Entropy: -0.2463, Cumulative steps: 721000
Episode 730, Average Reward: 2380.82, Entropy: -0.2540, Cumulative steps: 731000
Episode 740, Average Reward: 2448.63, Entropy: -0.2644, Cumulative steps: 741000
Episode 750, Average Reward: 2553.03, Entropy: -0.2779, Cumulative steps: 751000
Episode 760, Average Reward: 2609.16, Entropy: -0.2866, Cumulative steps: 761000
Episode 770, Average Reward: 2683.27, Entropy: -0.3039, Cumulative steps: 771000
Episode 780, Average Reward: 2581.20, Entropy: -0.3158, Cumulative steps: 781000
Episode 790, Average Reward: 2623.89, Entropy: -0.3278, Cumulative steps: 791000
Episode 800, Average Reward: 2637.21, Entropy: -0.3399, Cumulative steps: 801000
Models saved at episode 800
Episode 810, Average Reward: 2604.00, Entropy: -0.3482, Cumulative steps: 811000
Episode 820, Average Reward: 2625.75, Entropy: -0.3602, Cumulative steps: 821000
Episode 830, Average Reward: 2672.94, Entropy: -0.3772, Cumulative steps: 831000
Episode 840, Average Reward: 2672.82, Entropy: -0.3943, Cumulative steps: 841000
Episode 850, Average Reward: 2769.73, Entropy: -0.4064, Cumulative steps: 851000
Episode 860, Average Reward: 2883.08, Entropy: -0.4206, Cumulative steps: 861000
